date,year,week,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients
9/29/2002,2002,40,1.22262,1.16668,582,NA,524,805,NA,149,2060,754,176569
10/6/2002,2002,41,1.33344,1.2165,683,NA,585,872,NA,127,2267,785,186355
10/13/2002,2002,42,1.31929,1.13057,642,NA,543,878,NA,113,2176,831,192469
10/20/2002,2002,43,1.49484,1.25246,728,NA,672,1045,NA,154,2599,863,207512
10/27/2002,2002,44,1.47195,1.30237,823,NA,741,1189,NA,154,2907,909,223208
11/3/2002,2002,45,1.58094,1.40551,887,NA,886,1272,NA,180,3225,930,229454
11/10/2002,2002,46,1.49426,1.38437,851,NA,898,1173,NA,175,3097,923,223712
11/17/2002,2002,47,1.40569,1.32563,802,NA,817,1166,NA,182,2967,922,223818
11/24/2002,2002,48,1.6141,1.43475,834,NA,711,978,NA,186,2709,918,188814
12/1/2002,2002,49,1.45967,1.25433,857,NA,869,1117,NA,206,3049,937,243078
12/8/2002,2002,50,1.59896,1.25757,804,NA,792,1179,NA,182,2957,928,235136
12/15/2002,2002,51,2.16697,1.58017,951,NA,849,1404,NA,212,3416,908,216179
12/22/2002,2002,52,2.57842,1.98008,915,NA,828,937,NA,177,2857,865,144287
12/29/2002,2003,1,2.38636,1.90428,1028,NA,962,1019,NA,251,3260,879,171193
1/5/2003,2003,2,1.73621,1.5901,1068,NA,1091,1296,NA,274,3729,926,234513
1/12/2003,2003,3,2.06296,1.81559,1154,NA,1011,1798,NA,241,4204,902,231550
1/19/2003,2003,4,2.58113,2.41801,1373,NA,1104,2998,NA,221,5696,927,235566
1/26/2003,2003,5,2.93909,2.86635,1411,NA,1322,4064,NA,282,7079,884,246969
2/2/2003,2003,6,3.22539,3.16662,1606,NA,1421,4447,NA,308,7782,889,245751
2/9/2003,2003,7,3.06982,3.0155,1568,NA,1566,4224,NA,291,7649,903,253656
2/16/2003,2003,8,3.20044,2.9978,1694,NA,1537,3689,NA,308,7228,871,241110
2/23/2003,2003,9,2.44888,2.31957,1336,NA,1400,2583,NA,287,5606,857,241683
3/2/2003,2003,10,2.1344,1.94707,1015,NA,1085,2103,NA,247,4450,839,228549
3/9/2003,2003,11,1.99866,1.72985,880,NA,987,1669,NA,274,3810,835,220250
3/16/2003,2003,12,1.93849,1.51837,737,NA,773,1321,NA,156,2987,795,196724
3/23/2003,2003,13,1.41293,1.22616,624,NA,640,1016,NA,159,2439,775,198913
3/30/2003,2003,14,1.23472,1.05433,506,NA,541,846,NA,135,2028,741,192349
4/6/2003,2003,15,1.20005,1.07108,569,NA,551,799,NA,163,2082,735,194383
4/13/2003,2003,16,0.910135,0.82612,440,NA,382,539,NA,106,1467,669,177577
4/20/2003,2003,17,0.932265,0.820505,429,NA,394,508,NA,114,1445,682,176111
4/27/2003,2003,18,0.692175,0.630846,275,NA,272,444,NA,84,1075,655,170406
5/4/2003,2003,19,0.669406,0.63935,215,NA,245,471,NA,74,1005,613,157191
5/11/2003,2003,20,0.727705,0.586609,248,NA,235,283,NA,70,836,547,142514
5/18/2003,2003,21,0.717701,0.773024,264,NA,169,262,NA,45,740,406,95728
5/25/2003,2003,22,0.789394,0.790743,213,NA,179,205,NA,44,641,393,81063
6/1/2003,2003,23,0.722129,0.711847,201,NA,133,195,NA,34,563,344,79090
6/8/2003,2003,24,0.591326,0.794637,198,NA,180,187,NA,55,620,341,78023
6/15/2003,2003,25,0.52307,0.586604,139,NA,127,123,NA,34,423,322,72110
6/22/2003,2003,26,0.450236,0.615982,122,NA,163,124,NA,32,441,322,71593
6/29/2003,2003,27,0.397421,0.491507,109,NA,94,91,NA,24,318,310,64699
7/6/2003,2003,28,0.448002,0.604341,137,NA,120,141,NA,43,441,308,72972
7/13/2003,2003,29,0.474767,0.524478,98,NA,116,98,NA,53,365,301,69593
7/20/2003,2003,30,0.453251,0.590692,112,NA,121,139,NA,48,420,302,71103
7/27/2003,2003,31,0.352158,0.505135,100,NA,102,120,NA,39,361,290,71466
8/3/2003,2003,32,0.525322,0.634271,136,NA,136,125,NA,46,443,295,69844
8/10/2003,2003,33,0.492991,0.610118,120,NA,133,131,NA,37,421,283,69003
8/17/2003,2003,34,0.542728,0.641227,159,NA,120,144,NA,27,450,277,70178
8/24/2003,2003,35,0.490347,0.661429,166,NA,112,155,NA,30,463,276,70000
8/31/2003,2003,36,0.735914,0.792681,177,NA,124,182,NA,36,519,271,65474
