"date","year","week","AK","AL","AR","AZ","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY","PR","US"
2010-10-09,2010,40,0.875146,2.13477,0.696056,0.674721,1.95412,0.660684,0.0783085,0.100125,2.80877,NA,1.6049,1.02934,0.414938,1.28205,0.518962,0.563063,0.442227,0.142932,2.28108,0.357724,1.3192,0.604621,0.671831,0.5748,2.9098,1.10176,0.0371195,2.19978,1.66683,0.0759301,2.31534,2.13191,0.26299,0.53143,0.671355,0.228257,0.624179,0.551334,0.703292,0.235036,0.446127,1.10275,0.274655,2.06514,0.747696,1.47641,1.14343,0.510041,1.59741,0.465022,0.632911,NA,1.13505
2010-10-16,2010,41,1.12827,2.05999,0.674157,0.749939,2.15266,0.628621,0.238095,0.36855,2.89079,NA,1.71307,1.75246,1.45798,1.45089,0.653137,0.860956,0.57749,0.223975,2.04776,0.434855,2.09879,0.887866,0.585011,0.541293,2.97075,0.930521,0.180963,2.73532,1.63633,0.0924642,2.47836,1.9635,0.369729,0.53653,0.721961,0.361628,0.958678,0.624076,0.910726,0.201545,0.765523,0.793794,0.499492,2.09394,0.410939,1.35777,1.23653,1.04007,1.58968,0.581832,0.440621,NA,1.25256
2010-10-23,2010,42,0.586042,1.94224,0.514217,0.953365,2.24173,0.80402,0.374158,0.337025,2.41042,NA,2.01249,0.755124,1.40814,1.56607,0.584346,0.407,0.47975,0.156152,2.42974,0.421743,1.45439,0.744806,0.524238,0.521162,2.98141,0.98989,0.185874,3.31103,1.5086,0.29361,2.24812,1.67486,0.362121,0.457107,0.567477,0.52356,2.07039,0.484848,0.881081,0.362845,0.38943,0.791023,0.49955,2.10072,0.440583,1.48221,1.22545,0.904393,1.52672,1.18822,0.441798,NA,1.2457
2010-10-30,2010,43,0.967742,2.2765,0.41365,0.888804,1.91748,0.909658,0.333542,0.460494,3.11632,NA,2.38747,1.57434,1.28007,1.45762,0.581084,0.183225,0.538071,0.150108,1.92854,0.338409,1.26769,0.783721,0.921435,0.637716,3.14804,0.959713,0.0363901,2.05761,2.14451,0.178795,2.79286,2.35498,0.358981,0.511163,0.339239,0.329518,1.67073,0.751771,0.72118,0.322675,0.418354,0.801311,0.401638,2.20655,0.755957,1.44393,1.26902,0.95511,1.81171,1.01049,0.490305,NA,1.26774
2010-11-06,2010,44,0.683851,2.83371,1.09028,1.18573,2.52326,0.971705,0.396743,0.222332,2.99118,NA,2.65614,1.77398,1.82724,1.4893,0.842254,0.35878,0.481289,0.289678,2.80934,0.176471,1.45386,0.812421,0.863417,0.805802,3.3557,1.16768,0.0405186,0.376712,1.76761,0.294372,1.82877,2.37983,0.527357,0.649925,0.713749,0.831798,1.62845,0.764895,0.991455,0.530256,0.44531,0.779833,0.528096,2.36381,0.651859,1.25276,1.26547,0.78637,1.83986,1.09649,0.566636,NA,1.43723
2010-11-13,2010,45,0.951904,3.46224,1.19736,0.945337,2.74562,0.719015,0.319562,0.79466,2.32951,NA,3.41305,1.17429,1.49434,1.55392,0.752055,0.41866,0.724993,0.222995,2.08577,0.356622,1.42159,0.732931,0.806639,0.82012,3.93095,1.22374,0.243902,2.96108,0.805239,0.304414,2.2031,2.3776,0.504756,0.476862,0.75811,0.51801,2.57453,0.775305,1.03377,0.477403,0.5111,0.743424,0.593704,2.51778,0.6639,1.12705,1.41165,1.06724,2.06875,1.03383,0.463336,NA,1.53341
2010-11-20,2010,46,0.962567,3.53248,1.55462,1.09665,2.81963,0.696032,0.618847,0.390879,1.5844,NA,4.55518,1.31204,1.95882,1.63242,0.820837,0.484206,0.595801,0.46321,2.81506,0.520341,1.50014,0.803486,0.655481,0.702763,4.46575,1.20367,0.10993,2.42303,2.63276,0.279281,2.13716,2.87842,0.503441,0.484569,0.644192,0.533199,3.35068,0.657895,0.946337,0.504177,0.455927,1.00136,0.676526,2.24622,0.907845,1.79054,1.53242,1.33132,1.99804,1.12402,0.744725,NA,1.69445
2010-11-27,2010,47,0.652316,4.27655,2.02599,1.1338,3.16132,0.754401,0.716612,0.503356,3.33519,NA,5.4632,1.57422,3.06882,1.81669,0.795053,0.533689,0.890511,0.539615,2.92706,0.617566,2.01258,0.958095,0.855178,1.10096,4.83811,1.41407,0.537057,0.614754,3.10198,0.205181,2.41758,2.9782,0.54919,0.63197,0.590551,0.454502,2.6523,1.06383,1.10846,0.67804,0.513049,0.891996,0.821849,2.59866,0.743569,1.94011,1.62726,1.87333,1.68525,0.978261,0.500147,NA,1.9915
2010-12-04,2010,48,0.45977,4.44043,1.39295,1.42227,2.60631,0.849729,0.442994,0.270005,4.15896,NA,3.48178,1.96305,1.80142,1.62132,0.887189,0.827498,0.719424,0.673462,2.66482,0.347958,1.86342,0.903185,0.564609,0.855418,4.88509,1.56732,0.0380518,2.8157,2.89043,0.138806,2.60116,2.8547,1.62591,0.657793,0.347088,0.349567,2.14477,0.718276,1.20878,0.765766,0.509782,1.10714,0.805777,2.56617,0.838308,1.57528,1.57146,0.981767,1.39059,1.27081,0.593776,NA,1.81305
2010-12-11,2010,49,0.797721,5.81097,1.02064,2.14835,3.05613,0.809504,0.654897,0.361156,3.26052,NA,4.48962,2.42215,1.72267,1.85288,0.949958,0.954329,0.828437,0.598723,2.80486,0.435219,1.55109,0.96749,0.563399,0.584334,5.33836,1.37036,0.0359454,2.46212,3.28279,0.247015,2.65371,2.32423,2.1629,0.613611,0.23753,0.342466,2.33623,0.980101,1.22407,0.635497,0.484707,1.16321,1.10577,2.40335,1.16492,1.15663,1.69937,0.96463,1.58682,1.27947,0.418323,NA,2.01426
